cnpj;ano;url_principal;propria_servico;propria_doacao_mensalidade;privada_doacao_parceria;privada_doacao_even;publica_parceria;internacional_privada;internacional_publica
58.238.866/0001-15;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/20569/RelatorioCircunstanciado.html;8,00%;11,00%;2,00%;%;79,00%;%;%
60.015.070/0001-45;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/119076/RelatorioCircunstanciado.html;0,00%;21,00%;0,00%;13,00%;66,00%;0,00%;0,00%
58.258.633/0001-84;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/119844/RelatorioCircunstanciado.html;0,00%;59,09%;0,93%;0,00%;39,98%;0,00%;0,00%
58.207.572/0001-26;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/121414/RelatorioCircunstanciado.html;97,13%;%;%;%;2,87%;%;%
58.224.692/0001-31;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/121549/RelatorioCircunstanciado.html;0,00%;19,84%;0,00%;6,96%;73,20%;0,00%;0,00%
58.222.910/0001-07;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/122015/RelatorioCircunstanciado.html;%;52,42%;0,07%;0,00%;47,51%;0,00%;%
71.550.222/0001-26;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/122826/RelatorioCircunstanciado.html;%;%;%;%;%;%;%
58.191.008/0001-62;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/123704/RelatorioCircunstanciado.html;99,98%;%;0,01%;%;0,01%;%;%
58.250.267/0001-17;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/123872/RelatorioCircunstanciado.html;33,55%;7,46%;0,00%;9,40%;49,59%;0,00%;%
71.554.695/0001-00;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/123909/RelatorioCircunstanciado.html;%;%;%;0,01%;99,99%;%;%
52.256.054/0001-16;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/6973/RelatorioCircunstanciado.html;44,00%;%;%;56,00%;%;%;%
58.269.515/0001-71;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/124282/RelatorioCircunstanciado.html;3,40%;3,40%;7,00%;1,20%;85,00%;0,00%;0,00%
68.018.050/0001-30;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/124499/RelatorioCircunstanciado.html;23,77%;0,00%;0,00%;0,00%;76,23%;0,00%;%
58.218.215/0001-63;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/125471/RelatorioCircunstanciado.html;38,27%;1,26%;0,00%;2,75%;57,72%;0,00%;0,00%
58.198.524/0001-19;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/126346/RelatorioCircunstanciado.html;97,76%;%;%;1,04%;1,20%;%;%
58.238.866/0001-15;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/126655/RelatorioCircunstanciado.html;14,00%;5,00%;1,00%;1,00%;79,00%;0,00%;0,00%
58.247.503/0001-46;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/126790/RelatorioCircunstanciado.html;25,30%;0,36%;1,12%;2,10%;71,12%;0,00%;0,00%
46.170.494/0001-53;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/127124/RelatorioCircunstanciado.html;0,00%;18,81%;%;0,00%;81,19%;0,00%;%
64.042.740/0001-73;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/127596/RelatorioCircunstanciado.html;0,00%;0,00%;0,00%;%;0,00%;%;0,00%
55.674.782/0001-36;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/21840/RelatorioCircunstanciado.html;0,00%;23,93%;%;2,63%;73,44%;%;%
55.674.782/0001-36;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/127976/RelatorioCircunstanciado.html;0,00%;14,57%;%;2,01%;83,42%;0,00%;%
58.198.524/0001-19;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/9907/RelatorioCircunstanciado.html;98,50%;%;0,90%;%;0,60%;%;%
64.715.899/0001-01;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/128627/RelatorioCircunstanciado.html;%;%;20,00%;20,00%;60,00%;0,00%;%
52.246.451/0001-07;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/7815/RelatorioCircunstanciado.html;88,00%;11,00%;0,00%;0,00%;1,00%;0,00%;%
68.025.576/0001-47;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/129552/RelatorioCircunstanciado.html;4,10%;3,70%;14,00%;0,50%;77,70%;0,00%;%
58.251.711/0001-19;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/129795/RelatorioCircunstanciado.html;100,00%;%;%;%;%;%;%
10.227.433/0001-38;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/131441/RelatorioCircunstanciado.html;5,00%;%;95,00%;0,00%;0,00%;%;%
66.505.017/0001-09;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/132527/RelatorioCircunstanciado.html;%;28,59%;0,00%;6,48%;64,93%;0,00%;0,00%
11.043.826/0001-54;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/132846/RelatorioCircunstanciado.html;0,00%;28,78%;0,00%;%;71,22%;%;%
55.674.030/0001-75;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/133194/RelatorioCircunstanciado.html;%;100,00%;%;0,00%;%;%;%
15.321.633/0001-79;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/133285/RelatorioCircunstanciado.html;%;%;%;100,00%;0,00%;%;%
60.015.070/0001-45;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8534/RelatorioCircunstanciado.html;%;19,50%;0,00%;12,50%;68,00%;%;%
58.207.572/0001-26;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8618/RelatorioCircunstanciado.html;100,00%;%;%;%;%;%;%
64.042.740/0001-73;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8775/RelatorioCircunstanciado.html;0,00%;0,00%;0,00%;%;0,00%;%;0,00%
52.246.451/0001-07;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/133706/RelatorioCircunstanciado.html;55,00%;10,00%;0,00%;15,00%;20,00%;0,00%;0,00%
51.642.288/0001-39;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/134008/RelatorioCircunstanciado.html;0,00%;20,00%;0,00%;%;80,00%;%;0,00%
15.699.589/0001-35;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/134501/RelatorioCircunstanciado.html;0,00%;100,00%;%;%;%;%;%
58.269.515/0001-71;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/9434/RelatorioCircunstanciado.html;3,34%;1,05%;3,50%;13,20%;78,91%;%;0,00%
58.257.023/0001-66;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/22008/RelatorioCircunstanciado.html;12,00%;8,00%;1,00%;1,00%;78,00%;0,00%;%
58.207.572/0001-26;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/138176/RelatorioCircunstanciado.html;96,99%;%;%;%;3,01%;%;%
58.194.622/0001-88;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/139886/RelatorioCircunstanciado.html;62,21%;29,30%;%;%;8,49%;0,00%;%
64.715.899/0001-01;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/139890/RelatorioCircunstanciado.html;%;5,00%;15,00%;20,00%;60,00%;0,00%;%
58.198.227/0001-73;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/10599/RelatorioCircunstanciado.html;28,78%;0,48%;23,36%;6,62%;40,76%;0,00%;0,00%
58.224.692/0001-31;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/140628/RelatorioCircunstanciado.html;0,00%;21,90%;0,00%;0,00%;78,10%;0,00%;0,00%
58.250.267/0001-17;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/141547/RelatorioCircunstanciado.html;31,85%;16,54%;0,00%;4,42%;47,19%;0,00%;0,00%
58.191.008/0001-62;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/141824/RelatorioCircunstanciado.html;99,98%;%;0,01%;%;0,01%;%;%
58.222.910/0001-07;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/142365/RelatorioCircunstanciado.html;%;52,42%;0,07%;0,00%;47,51%;0,00%;%
52.246.451/0001-07;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/143697/RelatorioCircunstanciado.html;53,00%;13,00%;0,00%;18,00%;16,00%;0,00%;0,00%
58.269.515/0001-71;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/144523/RelatorioCircunstanciado.html;0,00%;0,90%;8,30%;15,02%;75,78%;0,00%;0,00%
58.259.433/0001-46;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/147618/RelatorioCircunstanciado.html;25,00%;15,00%;20,00%;0,00%;40,00%;%;0,00%
71.554.695/0001-00;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/148210/RelatorioCircunstanciado.html;%;%;%;0,01%;99,99%;%;%
11.043.826/0001-54;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/149301/RelatorioCircunstanciado.html;0,00%;30,00%;0,00%;%;70,00%;%;%
71.545.636/0001-67;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/150029/RelatorioCircunstanciado.html;14,51%;0,21%;0,00%;0,00%;85,28%;0,00%;0,00%
10.227.433/0001-38;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/150215/RelatorioCircunstanciado.html;10,00%;%;90,00%;0,00%;0,00%;%;%
11.061.995/0001-17;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/151029/RelatorioCircunstanciado.html;%;%;80,00%;20,00%;0,00%;%;%
51.642.288/0001-39;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/151700/RelatorioCircunstanciado.html;0,00%;20,00%;0,00%;%;80,00%;%;0,00%
58.225.905/0001-40;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/155151/RelatorioCircunstanciado.html;45,89%;30,46%;%;%;23,65%;%;%
58.258.633/0001-84;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/108533/RelatorioCircunstanciado.html;0,00%;63,00%;2,00%;0,00%;35,00%;0,00%;0,00%
58.207.572/0001-26;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/156548/RelatorioCircunstanciado.html;97,00%;%;%;%;3,00%;%;%
58.191.008/0001-62;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/159494/RelatorioCircunstanciado.html;99,98%;%;0,01%;%;0,01%;%;%
58.251.711/0001-19;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/162991/RelatorioCircunstanciado.html;100,00%;%;%;%;%;%;%
58.250.267/0001-17;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/164189/RelatorioCircunstanciado.html;30,78%;12,97%;0,00%;5,30%;50,95%;0,00%;0,00%
15.699.589/0001-35;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/167017/RelatorioCircunstanciado.html;%;95,00%;5,00%;%;%;%;%
58.230.293/0001-83;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/25830/RelatorioCircunstanciado.html;%;5,90%;0,31%;13,24%;80,55%;0,00%;0,00%
58.218.207/0001-17;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/25852/RelatorioCircunstanciado.html;21,69%;58,59%;%;4,61%;15,11%;0,00%;%
58.194.622/0001-88;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/26387/RelatorioCircunstanciado.html;99,98%;0,01%;0,00%;0,00%;0,01%;%;0,00%
58.225.905/0001-40;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/26785/RelatorioCircunstanciado.html;45,70%;24,54%;%;%;29,76%;%;%
64.715.899/0001-01;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27268/RelatorioCircunstanciado.html;%;%;25,67%;2,28%;72,05%;0,00%;%
58.191.008/0001-62;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27353/RelatorioCircunstanciado.html;99,00%;%;1,00%;%;%;%;%
58.198.128/0001-91;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27427/RelatorioCircunstanciado.html;2,44%;1,69%;1,75%;5,47%;88,65%;%;0,00%
71.545.636/0001-67;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27623/RelatorioCircunstanciado.html;0,00%;9,60%;61,90%;11,20%;17,30%;0,00%;0,00%
58.269.515/0001-71;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27680/RelatorioCircunstanciado.html;4,54%;0,77%;1,43%;7,31%;85,95%;%;0,00%
71.545.636/0001-67;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27960/RelatorioCircunstanciado.html;%;9,60%;61,90%;11,20%;17,30%;%;%
58.207.572/0001-26;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/28195/RelatorioCircunstanciado.html;100,00%;%;%;%;%;%;%
58.269.515/0001-71;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109750/RelatorioCircunstanciado.html;3,40%;3,40%;7,00%;1,20%;85,00%;0,00%;0,00%
58.149.030/0001-44;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109788/RelatorioCircunstanciado.html;20,00%;60,00%;%;20,00%;%;%;%
58.191.008/0001-62;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/11076/RelatorioCircunstanciado.html;99,00%;%;1,00%;%;%;%;%
58.219.551/0001-20;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/28876/RelatorioCircunstanciado.html;0,00%;48,75%;0,00%;38,45%;12,80%;0,00%;0,00%
58.238.866/0001-15;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109900/RelatorioCircunstanciado.html;9,00%;7,00%;1,00%;1,00%;82,00%;0,00%;0,00%
54.346.127/0001-96;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/31129/RelatorioCircunstanciado.html;%;%;0,00%;43,00%;3,00%;54,00%;0,00%
68.018.050/0001-30;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/31273/RelatorioCircunstanciado.html;4,31%;11,57%;0,00%;%;84,12%;0,00%;%
64.042.740/0001-73;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110050/RelatorioCircunstanciado.html;0,00%;0,00%;0,00%;%;0,00%;%;0,00%
58.218.207/0001-17;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/32116/RelatorioCircunstanciado.html;21,69%;58,59%;0,00%;19,72%;0,00%;0,00%;%
66.505.017/0001-09;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/32182/RelatorioCircunstanciado.html;%;26,00%;%;4,00%;70,00%;0,00%;0,00%
58.198.227/0001-73;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/33257/RelatorioCircunstanciado.html;26,55%;0,40%;23,16%;4,93%;44,96%;0,00%;0,00%
66.505.017/0001-09;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110274/RelatorioCircunstanciado.html;%;30,75%;0,00%;0,11%;69,14%;0,00%;0,00%
58.253.667/0001-86;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/36089/RelatorioCircunstanciado.html;95,00%;0,30%;4,70%;%;%;%;%
58.250.267/0001-17;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/37260/RelatorioCircunstanciado.html;25,55%;8,86%;%;7,34%;58,25%;%;%
51.642.288/0001-39;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/37986/RelatorioCircunstanciado.html;0,00%;20,00%;0,00%;%;80,00%;%;0,00%
58.228.453/0001-50;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110585/RelatorioCircunstanciado.html;0,00%;60,00%;0,00%;0,00%;40,00%;0,00%;0,00%
58.198.524/0001-19;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/39992/RelatorioCircunstanciado.html;98,50%;%;0,90%;%;0,60%;%;%
