match_name;match_cnpj;natureza_juridica_desc;valor_repasse
INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;22315713000349,0;Associacao Privada;706940502,77
PRO-SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL E HOSPITALAR - EM RECUPERACAO JUDICIAL;24232886018023,0;Associacao Privada;146556464,86
INSTITUTO NACIONAL DE PESQUISA E GESTAO EM SAUDE - INSAUDE;44563716003511,0;Associacao Privada;116921045,96
SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;61699567008843,0;Associacao Privada;103485295,17
ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL;62292420000650,0;Associacao Privada;65137892,64
USC SAUDE;36123690000202,0;Organizacao Social (OS);59638154,56
ASSOCIACAO DE ASSISTENCIA SOCIAL EVOLUCAO;6206541000157,0;Associacao Privada;50655690,26
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS;58198524002405,0;Associacao Privada;40862676,96
INSTITUTO ARTE NO DIQUE;7269609000290,0;Associacao Privada;27972258,72
UNIAO DE AMPARO A COMUNIDADE DE ESCOLAS PUBLICAS ( MINHA COMUNIDADE) - UACEP;9121581000194,0;Associacao Privada;26649326,46
CENTRO ESPIRITA BENEFICENTE 30 DE JULHO;58198128000191,0;Associacao Privada;23016159,83
EDUCANDARIO SANTISTA;58247503000146,0;Associacao Privada;22739422,08
PRO VIVER OBRAS SOCIAIS E EDUCACIONAIS;68025576000147,0;Associacao Privada;21944591,34
LAR DAS MOCAS CEGAS;58198227000173,0;Associacao Privada;19646628,27
CENTRO DE APRENDIZAGEM E MOBILIZACAO PROFISSIONAL E SOCIAL - CAMPS;58253667000186,0;Associacao Privada;19521050,21
FUNDACAO OASIS;1030958002050,0;Fundacao Privada;15063707,47
ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS;58238866000387,0;Associacao Privada;13475575,91
ASSOCIACAO SOCIAL SAGRADA FAMILIA;11061656000130,0;Associacao Privada;13181642,8
EDUCANDARIO ANALIA FRANCO;58225905000220,0;Associacao Privada;12681278,92
ASSOCIACAO DOS PORTADORES DE DEFICIENCIA MENTAL;68018050000130,0;Associacao Privada;12425863,65
CRECHE COMUNITARIA AMIGOS;8802883000246,0;Associacao Privada;12251726,84
ASSOCIACAO DE PROMOCAO E ASSISTENCIA SOCIAL ESTRELA DO MAR;5273791000813,0;Associacao Privada;11997874,15
CRECHE COMUNITARIA CANTINHO DO RADIO CLUBE;26282334000199,0;Associacao Privada;10921383,44
NUCLEO DE REABILITACAO DE DEFICIENCIA INTELECTUAL SAO VICENTE DE PAULO;64042740000173,0;Associacao Privada;10606588,71
VIDAS RECICLADAS;8706506000718,0;Associacao Privada;9492766,02
CENTRO INTERDISCIPLINAR DE EDUCACAO ESPECIAL SIMONE C HORCEL;26841083000135,0;Associacao Privada;9272718,28
ASSOCIACAO CASA DA CRIANCA DE SANTOS;58218215000163,0;Associacao Privada;9165166,06
CENTRO ESPIRITA ISMENIA DE JESUS;58222878001719,0;Associacao Privada;8526333,33
CRECHE ANJOS DO AMANHA E EDUCACAO INFANTIL;27729983000158,0;Associacao Privada;8456743,23
ASSOCIACAO EDUCACIONAL E ASSISTENCIAL CASA MAGICA;19716290000100,0;Associacao Privada;8301316,93
LAR ESPIRITA MENSAGEIROS DA LUZ - PARALISIA CEREBRAL;46781142000134,0;Associacao Privada;8208861,99
ASSOCIACAO CASA DA ESPERANCA;58218207000117,0;Associacao Privada;8178948,38
ASSOCIACAO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS;55674782000136,0;Associacao Privada;7743079,44
SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO;58259433000146,0;Associacao Privada;7713895,92
ASSOCIACAO ESPIRITA SEARADE JESUS;58230293000183,0;Associacao Privada;7604257,600000001
ASSOCIACAO DE PAIS PRO CENTRO DE REC DE EXCEPCIONAIS;46170494000153,0;Associacao Privada;7517105,74
CRUZADA DAS SENHORAS CATOLICAS;58269515000171,0;Associacao Privada;7490910,58
ASSISTENCIA A INFANCIA DE SANTOS GOTA DE LEITE;58222910000107,0;Associacao Privada;7461409,61
ASSOCIACAO EQUOTERAPIA;4312650000123,0;Associacao Privada;7250712,36
ASSISTENCIA AO MENOR ENFERMO MENTAL;58257023000166,0;Associacao Privada;7194914,34
CASA VO BENEDITA;55674980000280,0;Associacao Privada;7021589,46
CENTRO DE CONVIVENCIA ESPERANCA E VIDA (C.C.E.V.);4864717000132,0;Associacao Privada;6626501,01
ASSOCIACAO FILANTROPICA CATOLICA ORTODOXA;3387871000289,0;Associacao Privada;6461897,19
LIGA BENEFICENTE NOSSA SENHORA DA DIVINA PROVIDENCIA;58259763000131,0;Associacao Privada;5474217,04
ASPPE - PESQUISA PREVENCAO E EDUCACAO;71554695000100,0;Associacao Privada;5426361,91
ESCOLA PORTUGUESA;60013646000135,0;Associacao Privada;5415784,4
INSTITUICAO DE ASSISTENCIA A CRIANCA PROFESSORA EDNA SOUZA - I. A. C. P. E. S.;5336537000140,0;Associacao Privada;5281669,96
LAR EVANGELICO DE AMPARO A VELHICE;52246451000107,0;Associacao Privada;5159580,45
ASSISTENCIA SOCIAL DA PONTA DA PRAIA;60015070000145,0;Associacao Privada;5125634,26
CASA DO PARAPLEGICO DE SANTOS;58263898000170,0;Associacao Privada;5051730,27
ASSOCIACAO BALE DA CIDADE DE SANTOS;4979995000135,0;Associacao Privada;4982777,89
ASSOCIACAO BRASILEIRA DE EDUCACAO E CULTURA -ABEC;60982352003307,0;Associacao Privada;4803239,24
CENTRO DE CAPACITACAO DE JOVENS E ADULTOS DE SANTOS - CECAJAS;9199368000286,0;Associacao Privada;4563896,08
ASSOCIACAO CASA DE ESTAR DE SANTOS;58250267000117,0;Associacao Privada;4525170,9
COMUNIDADE ASSISTENCIAL ESPIRITA LAR VENERANDA;58167032000166,0;Associacao Privada;4508269,06
ASSOCIACAO BENEFICENTE SAO JOSE;57734915000148,0;Associacao Privada;4362702,57
ASILO DE INVALIDOS DE SANTOS;58219551000201,0;Associacao Privada;4227906,08
ASSOCIACAO BENEFICENTE AGAPE;10415947000117,0;Associacao Privada;4218027,57
ASSOCIACAO DE ASSISTENCIA A INFANCIA ESTRELA GUIA;64715899000101,0;Associacao Privada;4211362,18
ABRACE - ASSOCIACAO BRASILEIRA DE ARTES CENICAS;10984224000139,0;Associacao Privada;4032272,79
ASSOCIACAO CRISTA BENEFICENTE EURIPEDES BARSANULFO;58224692000301,0;Associacao Privada;3985566,31
ASSOCIACAO DE CRIANCAS ESPECIAIS DE SANTOS - ACES;2716429000105,0;Associacao Privada;3762759,09
GRUPO ESPIRITA CRISTAO DE SANTOS;49194889000184,0;Associacao Privada;3697192,1799999997
SOCIEDADE FILANTROPICA DAMASCO;51072411000123,0;Associacao Privada;3180423,39
CONSELHO CENTRAL DE SANTOS DA SOCIEDADE DE SAO VICENTE DE PAULO;58236456000135,0;Associacao Privada;2785820,14
ASSOCIACAO FABRICA DE SOLIDARIEDADE;2793805000165,0;Associacao Privada;2606286,16
FUNDACAO SETTAPORT DE RESPONSABILIDADE SOCIAL E INTEGRACAO PORTO CIDADE;9474791000247,0;Fundacao Privada;2573770,94
LAR ESPIRITA MARIA MAXIMO;62303250000158,0;Associacao Privada;2384633,91
INSTITUTO VISAO DO BEM;25333751000150,0;Associacao Privada;2305056,32
INSTITUTO PROATVIDA;4292604000100,0;Organizacao Social (OS);2255405,4
ASSOCIACAO PROJETO TAMTAM;68019801000132,0;Associacao Privada;2186438,32
INSTITUTO CONSTRUINDO O AMANHA;34597152000135,0;Associacao Privada;2116918,42
ABRACCII - ASSOCIACAO BRASILEIRA DE APOIO E COMBATE AO CANCER INFANTO JUVENIL;20249929000166,0;Associacao Privada;2065685,0
ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL AO EXCEPCIONAL - CENTRO DE CONVIVENCIA MARIA HELENA - ABASE;1180999000160,0;Associacao Privada;2038374,76
GRUPO DE APOIO A PREVENCAO A AIDS DA BAIXADA SANTISTA;57731218000133,0;Associacao Privada;1901595,0
ASSOCIACAO DO CENTRO COMUNITARIO DO DIQUE - UNIVERSIDADE ABERTA;4111858000184,0;Associacao Privada;1748580,28
APEMBS - ASSOCIACAO DOS PORTADORES DE ESCLEROSE MULTIPLA DA BAIXADA SANTISTA;6644509000234,0;Associacao Privada;1737945,63
CONSCIENCIA PELA CIDADANIA;7497673000148,0;Associacao Privada;1654088,0
ASSOCIACAO DE INFORMACAO, PROTECAO E DEFESA DO TRABALHADOR - PROTRABALHADOR;26414838000115,0;Associacao Privada;1602619,25
ASSOCIACAO IN PHOCCUS DE DANCA;24541903000148,0;Associacao Privada;1575275,2
ASSOCIACAO BENEFICENTE SONY BARSOTTI MEY;3357768000105,0;Associacao Privada;1566551,06
FUNDACAO PAULO GOMES BARBOSA;6096687000278,0;Fundacao Privada;1482264,55
INSTITUTO HISTORICO E GEOGRAFICO DE SANTOS;58250358000152,0;Associacao Privada;1419156,67
SOCIEDADE ESPORTIVA CANTAREIRA;8065029000163,0;Associacao Privada;1288337,1900000002
SANTOS CONVENTION & VISITORS BUREAU;5046291000172,0;Associacao Privada;1256796,06
FUNDACAO PINACOTECA BENEDICTO CALIXTO;55673255000107,0;Associacao Privada;1246333,34
ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA;47673793008158,0;Associacao Privada;1236457,79
GRUPO DE APOIO A INCLUSAO SOCIAL E PROFISSIONAL;58258633000184,0;Associacao Privada;1194111,83
INSTITUTO OSVALDO DE ROSIS;3134104000187,0;Associacao Privada;1183711,83
INSTITUTO PROJETO KAFFE SPORT;32695119000112,0;Associacao Privada;1129151,52
ASSOCIACAO BRASILEIRA DE CANOA HAVAIANA;24534507000193,0;Associacao Privada;1123680,0
LIGA REGIONAL DE FUTEVOLEI DO LITORAL PAULISTA (LRFVLP);42283417000159,0;Associacao Privada;1040101,6
SOCIEDADE PORTUGUESA DE BENEFICENCIA;58194622000188,0;Associacao Privada;1000000,0
GREMIO RECREATIVO CULTURAL E ESCOLA DE SAMBA MOCIDADE INDEPENDENCIA;10471963000127,0;Associacao Privada;903500,0
ASSOCIACAO EDUCACIONAL, CULTURAL, ESPORTIVA E RECREATIVA PROJETO TIA EGLE;10561152000117,0;Associacao Privada;885224,9000000003
GREMIO RECREATIVO E ESCOLA DE SAMBA UNIAO IMPERIAL;46834537000158,0;Associacao Privada;736000,0
ASSOCIACAO RECREATIVA E CULTURAL REAL MOCIDADE SANTISTA - ARCRMS;52264561000100,0;Associacao Privada;686000,0
ONG PATINHAS QUE BRILHAM;30851251000140,0;Organizacao Social (OS);629000,0
ACAO DE RECUPERACAO SOCIAL-ARS;34258000109,0;Associacao Privada;626266,02
ASSOCIACAO DE MORADORES E COMERCIANTES DA VILA MATHIAS;7788967000129,0;Associacao Privada;588059,27
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA BRASIL;57735201000154,0;Associacao Privada;582484,1
CLUBE DO CHORO DE SANTOS;5798009000103,0;Associacao Privada;580400,0
CONGREGACAO SANTISTA DE SURDOS;58251315000191,0;Associacao Privada;580000,0
INSTITUTO DEVIR EDUCOM;30756002000176,0;Associacao Privada;568001,0
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA TIJUCA;17632838000109,0;Associacao Privada;566000,0
GREMIO RECREATIVO, CULTURAL E ESCOLA DE SAMBA UNIDOS DOS MORROS;49946031000129,0;Associacao Privada;566000,0
ASSOCIACAO CANAL CULTURAL;50709299000126,0;Associacao Privada;564045,0
CRECHE MENINO JESUS;58267634000195,0;Associacao Privada;560126,16
ASSOCIACAO NIPO BRASILEIRA DE ASSISTENCIA SOCIAL - ENKYO;21161900000514,0;Associacao Privada;551600,0
CENTRO INTEGRADO DE ASSISTENCIA A PESSOAS COM CANCER - CENIN;21370103000113,0;Associacao Privada;541542,38
ASSOCIACAO APLAUSO CONTEMPORANEO;4361595000161,0;Associacao Privada;510500,0
ROTARY DE SANTOS MONTE SERRAT;3640883000192,0;Associacao Privada;501420,55
VITAE DOMINI - INSTITUTO BRASILEIRO DE DESENVOLVIMENTO SOCIAL;7794427000158,0;Associacao Privada;501149,09
ASSOCIACAO DESPORTIVA, EDUCACIONAL E SOCIAL EQUILIBRIUM;8678490000191,0;Associacao Privada;470458,4
LIGA DESPORTIVA DO LITORAL PAULISTA;23293842000184,0;Associacao Privada;443057,0
CONFEDERACAO BRASILEIRA DE SKATEBOARDING;3124517000180,0;Associacao Privada;442491,94
MUSEU DE ARTE SACRA DE SANTOS;52248440000166,0;Associacao Privada;420000,0
CLUBE INTERNACIONAL DE REGATAS;58212556000121,0;Associacao Privada;413451,2
G.RECREATIVO ACADEMIA DE SAMBA UNIDOS DA ZONA NOROESTE;51652725000103,0;Associacao Privada;413000,0
ASSOCIACAO DA PARADA DO ORGULHO DE LESBICAS, GAYS, BISSEXUAIS, TRAVESTIS E TRANSGENEROS DE SANTOS;41768494000136,0;Associacao Privada;404200,0
ASSOCIACAO CULTURAL PORTO CIRCENSE;29946057000160,0;Associacao Privada;399710,0
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA ACADEMICOS BANDEIRANTES DO SABOO;7763965000185,0;Associacao Privada;391000,0
GREMIO RECREATIVO CULTURAL TORCIDA E ESCOLA DE SAMBA SANGUE JOVEM;3901825000175,0;Associacao Privada;386000,0
NOVA DIMENSAO - ORGANIZACAO DE APOIO SOCIAL, EDUCATIVO E CULTURAL AS PESSOAS COM NECESSIDADES ESPECIAIS E MINORIAS EXCLUIDAS DOS SISTEMAS COMUNS;11521682000102,0;Associacao Privada;372505,58999999997
LOJA MACONICA CIDADE DE SANTOS N 4452;55673974000128,0;Associacao Privada;351780,02
CACTOS CENTRO DE APOIO E RECUP DE DEPENDENTES DE DROGAS;34200000165,0;Associacao Privada;351000,0
GREMIO RECREATIVO E CULTURAL ESCOLA DE SAMBA MOCIDADE AMAZONENSE;51683852000242,0;Associacao Privada;350000,0
TAUPET;41977051000155,0;Associacao Privada;350000,0
